# This file is generated on 25-Nov-2021 at 16:49:18 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.5478e+00, 6.2756e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.5478e+00, 6.2756e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.5478e+00, 6.2756e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 1.5478e+00, 6.2756e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 1.5478e+00, 6.2756e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 1.4975e+00, 6.0715e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 1.4043e+00, 5.6938e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 1.2950e+00, 5.2506e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 1.1745e+00, 4.7621e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 1.0616e+00, 4.3042e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 9.0398e-01, 3.6651e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 7.5211e-01, 3.0494e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 5.9065e-01, 2.3948e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 4.4574e-01, 1.8072e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 3.3352e-01, 1.3523e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 1.9042e-01, 7.7204e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 7.3531e-02, 2.9813e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 3.4961e-02, 1.4175e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.0000e+01, 5.0438e-03, 2.0450e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, 1.9841e-05, 8.0446e-04
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.9990e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 1.5478e+00, 3.1498e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 1.5478e+00, 3.1498e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 1.5478e+00, 3.1498e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 1.5478e+00, 3.1498e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 1.5478e+00, 3.1498e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 1.4975e+00, 3.0473e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 1.4043e+00, 2.8578e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 1.2950e+00, 2.6353e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 1.1745e+00, 2.3901e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 1.0616e+00, 2.1603e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 9.0398e-01, 1.8396e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 7.5211e-01, 1.5305e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 5.9065e-01, 1.2020e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 4.4574e-01, 9.0707e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 3.3352e-01, 6.7871e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 1.9042e-01, 3.8749e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 7.3531e-02, 1.4963e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.0000e+01, 3.4961e-02, 7.1145e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.0000e+01, 5.0438e-03, 1.0264e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e+01, 1.9841e-05, 4.0377e-04
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.9990e+01, 0.0000e+00, 0.0000e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.0000e-02, 1.5478e+00, 2.1133e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 1.5478e+00, 2.1133e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 1.5478e+00, 2.1133e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 1.5478e+00, 2.1133e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 1.5478e+00, 2.1133e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 1.4975e+00, 2.0445e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 1.4043e+00, 1.9174e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 1.2950e+00, 1.7681e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 1.1745e+00, 1.6036e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 1.0616e+00, 1.4494e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 9.0398e-01, 1.2342e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 7.5211e-01, 1.0269e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 5.9065e-01, 8.0642e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 4.4574e-01, 6.0858e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 3.3352e-01, 4.5536e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 1.9042e-01, 2.5998e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 7.3531e-02, 1.0039e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.0000e+01, 3.4961e-02, 4.7733e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.0000e+01, 5.0438e-03, 6.8863e-02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, 1.9841e-05, 2.7090e-04
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.9990e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 1.5478e+00, 1.5992e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 1.5478e+00, 1.5992e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 1.5478e+00, 1.5992e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 1.5478e+00, 1.5992e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 1.5478e+00, 1.5992e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 1.4975e+00, 1.5472e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 1.4043e+00, 1.4509e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 1.2950e+00, 1.3380e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 1.1745e+00, 1.2135e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 1.0616e+00, 1.0968e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 9.0398e-01, 9.3397e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 7.5211e-01, 7.7707e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 5.9065e-01, 6.1025e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 4.4574e-01, 4.6053e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 3.3352e-01, 3.4459e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 1.9042e-01, 1.9674e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 7.3531e-02, 7.5971e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.0000e+01, 3.4961e-02, 3.6121e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e+01, 5.0438e-03, 5.2111e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, 1.9841e-05, 2.0500e-04
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.9990e+01, 0.0000e+00, 0.0000e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 1.5478e+00, 1.2942e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 1.5478e+00, 1.2942e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 1.5478e+00, 1.2942e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 1.5478e+00, 1.2942e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 1.5478e+00, 1.2942e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 1.4975e+00, 1.2521e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 1.4043e+00, 1.1742e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 1.2950e+00, 1.0828e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 1.1745e+00, 9.8208e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 1.0616e+00, 8.8765e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 9.0398e-01, 7.5585e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 7.5211e-01, 6.2887e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 5.9065e-01, 4.9387e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 4.4574e-01, 3.7270e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 3.3352e-01, 2.7887e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 1.9042e-01, 1.5922e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 7.3531e-02, 6.1482e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.0000e+01, 3.4961e-02, 2.9232e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.0000e+01, 5.0438e-03, 4.2173e-02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, 1.9841e-05, 1.6590e-04
